 75,       SEMISY, No. 19 : ;.
 76,      IDENTSY, No. 38 : a.
 76,     ASSIGNSY, No. 10 : =.
 76,     ASSIGNSY, No. 10 : =.
 76,      IDENTSY, No. 38 : a.
 76,       MULTSY, No.  2 : *.
 76,      IDENTSY, No. 38 : i.
 76,       SEMISY, No. 19 : ;.
 77,      IDENTSY, No. 38 : a.
 77,     ASSIGNSY, No. 10 : =.
 77,     ASSIGNSY, No. 10 : =.
 77,      IDENTSY, No. 38 : a.
 77,       PLUSSY, No.  0 : +.
 77,      IDENTSY, No. 38 : b.
 77,       PLUSSY, No.  0 : +.
 77,      IDENTSY, No. 38 : c.
 77,       SEMISY, No. 19 : ;.
 78,      IDENTSY, No. 38 : i.
 78,     ASSIGNSY, No. 10 : =.
 78,     ASSIGNSY, No. 10 : =.
 78,      IDENTSY, No. 38 : i.
 78,       PLUSSY, No.  0 : +.
 78,    INTEGERSY, No. 35 : 1.
 78,       SEMISY, No. 19 : ;.
 79,       RPRTSY, No. 16 : }.
 81,      IDENTSY, No. 38 : b.
 81,     ASSIGNSY, No. 10 : =.
 81,     ASSIGNSY, No. 10 : =.
 81,      IDENTSY, No. 38 : a.
 81,       SEMISY, No. 19 : ;.
 82,      IDENTSY, No. 38 : i.
 82,     ASSIGNSY, No. 10 : =.
 82,     ASSIGNSY, No. 10 : =.
 82,    INTEGERSY, No. 35 : .
 82,       SEMISY, No. 19 : ;.
 83,       LOOPSY, No. 31 : while.
 83,       LPAESY, No. 11 : (.
 83,      IDENTSY, No. 38 : i.
 83,         LSSY, No.  4 : <.
 83,      IDENTSY, No. 38 : MAX_NUM.
 83,       RPARSY, No. 12 : ).
 83,       LPRTSY, No. 15 : {.
 84,      IDENTSY, No. 38 : b.
 84,     ASSIGNSY, No. 10 : =.
 84,     ASSIGNSY, No. 10 : =.
 84,      IDENTSY, No. 38 : b.
 84,       PLUSSY, No.  0 : +.
 84,      IDENTSY, No. 38 : i.
 84,       SEMISY, No. 19 : ;.
 85,      IDENTSY, No. 38 : i.
 85,     ASSIGNSY, No. 10 : =.
 85,     ASSIGNSY, No. 10 : =.
 85,      IDENTSY, No. 38 : i.
 85,       PLUSSY, No.  0 : +.
 85,    INTEGERSY, No. 35 : 1.
 85,       SEMISY, No. 19 : ;.
 86,       RPRTSY, No. 16 : }.
 88,      PRINTSY, No. 33 : printf.
 88,       LPAESY, No. 11 : (.
 88,       DQUOSY, No. 21 : ".
 88,     STRINGSY, No. 37 : " b = ".
 88,       DQUOSY, No. 21 : " b = ".
 88,      COMMASY, No. 18 : ,.
 88,      IDENTSY, No. 38 : b.
 88,       RPARSY, No. 12 : ).
 88,       SEMISY, No. 19 : ;.
 92,      PRINTSY, No. 33 : printf.
 92,       LPAESY, No. 11 : (.
 92,       DQUOSY, No. 21 : ".
 92,     STRINGSY, No. 37 : " ---------------------------------------------------------------          ".
 92,       DQUOSY, No. 21 : " ---------------------------------------------------------------          ".
 92,       RPARSY, No. 12 : ).
 92,       SEMISY, No. 19 : ;.
 93,      IDENTSY, No. 38 : h.
 93,     ASSIGNSY, No. 10 : =.
 93,     ASSIGNSY, No. 10 : =.
 93,    INTEGERSY, No. 35 : .
 93,       SEMISY, No. 19 : ;.
 94,      IDENTSY, No. 38 : leap.
 94,     ASSIGNSY, No. 10 : =.
 94,     ASSIGNSY, No. 10 : =.
 94,    INTEGERSY, No. 35 : 1.
 94,       SEMISY, No. 19 : ;.
 95,      IDENTSY, No. 38 : m.
 95,     ASSIGNSY, No. 10 : =.
 95,     ASSIGNSY, No. 10 : =.
 95,    INTEGERSY, No. 35 : 2.
 95,       SEMISY, No. 19 : ;.
 96,       LOOPSY, No. 31 : while.
 96,       LPAESY, No. 11 : (.
 96,      IDENTSY, No. 38 : m.
 96,         LESY, No.  5 : <=.
 96,      IDENTSY, No. 38 : MAX_NUM.
 96,       RPARSY, No. 12 : ).
 97,       LPRTSY, No. 15 : {.
 98,      IDENTSY, No. 38 : k2.
 98,     ASSIGNSY, No. 10 : =.
 98,     ASSIGNSY, No. 10 : =.
 98,      IDENTSY, No. 38 : m.
 98,        DIVSY, No.  3 : /.
 98,    INTEGERSY, No. 35 : 2.
 98,       SEMISY, No. 19 : ;.
 99,      IDENTSY, No. 38 : i.
 99,     ASSIGNSY, No. 10 : =.
 99,     ASSIGNSY, No. 10 : =.
 99,    INTEGERSY, No. 35 : 2.
 99,       SEMISY, No. 19 : ;.
100,       LOOPSY, No. 31 : while.
100,       LPAESY, No. 11 : (.
100,      IDENTSY, No. 38 : i.
100,         LESY, No.  5 : <=.
100,      IDENTSY, No. 38 : k2.
100,       RPARSY, No. 12 : ).
100,       LPRTSY, No. 15 : {.
101,      IDENTSY, No. 38 : x2.
101,     ASSIGNSY, No. 10 : =.
101,     ASSIGNSY, No. 10 : =.
101,       LPAESY, No. 11 : (.
101,      IDENTSY, No. 38 : m.
101,        DIVSY, No.  3 : /.
101,      IDENTSY, No. 38 : i.
101,       RPARSY, No. 12 : ).
101,       MULTSY, No.  2 : *.
101,      IDENTSY, No. 38 : i.
101,       SEMISY, No. 19 : ;.
102,         IFSY, No. 30 : if.
102,       LPAESY, No. 11 : (.
102,      IDENTSY, No. 38 : mod.
102,       LPAESY, No. 11 : (.
102,      IDENTSY, No. 38 : m.
102,      COMMASY, No. 18 : ,.
102,      IDENTSY, No. 38 : i.
102,       RPARSY, No. 12 : ).
102,        EQUSY, No.  9 : ==.
102,    INTEGERSY, No. 35 : .
102,       RPARSY, No. 12 : ).
103,       LPRTSY, No. 15 : {.
104,      IDENTSY, No. 38 : leap.
104,     ASSIGNSY, No. 10 : =.
104,     ASSIGNSY, No. 10 : =.
104,    INTEGERSY, No. 35 : .
104,       SEMISY, No. 19 : ;.
105,       RPRTSY, No. 16 : }.
106,      IDENTSY, No. 38 : i.
106,     ASSIGNSY, No. 10 : =.
106,     ASSIGNSY, No. 10 : =.
106,      IDENTSY, No. 38 : i.
106,       PLUSSY, No.  0 : +.
106,    INTEGERSY, No. 35 : 1.
106,       SEMISY, No. 19 : ;.
107,       RPRTSY, No. 16 : }.
108,         IFSY, No. 30 : if.
108,       LPAESY, No. 11 : (.
108,      IDENTSY, No. 38 : leap.
108,        EQUSY, No.  9 : ==.
108,    INTEGERSY, No. 35 : 1.
108,       RPARSY, No. 12 : ).
109,       LPRTSY, No. 15 : {.
110,      PRINTSY, No. 33 : printf.
110,       LPAESY, No. 11 : (.
110,       DQUOSY, No. 21 : ".
110,     STRINGSY, No. 37 : " ".
